id,item_id,category_name,最大月銷量,最小月銷量,update_time
126,922726196,耳機喇叭,7,7,2018-04-11
127,137110653,耳機喇叭,7,7,2018-04-11
128,111061589,耳機喇叭,7,6,2018-04-11
129,29678731,耳機喇叭,7,7,2018-04-11
130,61539627,耳機喇叭,7,7,2018-04-11
131,67821928,耳機喇叭,7,6,2018-04-11
132,256055101,耳機喇叭,7,6,2018-04-11
133,889237119,耳機喇叭,7,7,2018-04-11
134,316351542,耳機喇叭,7,6,2018-04-11
135,457572696,耳機喇叭,7,7,2018-04-11
136,185396942,耳機喇叭,7,7,2018-04-11
137,846893185,耳機喇叭,7,7,2018-04-11
138,142593847,耳機喇叭,7,7,2018-04-11
139,905544182,耳機喇叭,7,6,2018-04-11
140,316326643,耳機喇叭,7,7,2018-04-11
141,197725652,耳機喇叭,6,4,2018-04-11
142,765690670,耳機喇叭,6,6,2018-04-11
143,233676048,耳機喇叭,6,6,2018-04-11
144,19917454,耳機喇叭,6,6,2018-04-11
145,258737979,耳機喇叭,6,6,2018-04-11
146,973504951,耳機喇叭,6,6,2018-04-11
147,308822345,耳機喇叭,6,6,2018-04-11
148,174826576,耳機喇叭,6,6,2018-04-11
149,389403132,耳機喇叭,6,5,2018-04-11
150,170980128,耳機喇叭,6,6,2018-04-11
151,822092047,耳機喇叭,6,6,2018-04-11
152,209678133,耳機喇叭,6,5,2018-04-11
153,971728340,耳機喇叭,6,6,2018-04-11
154,191966950,耳機喇叭,6,5,2018-04-11
155,883318843,耳機喇叭,5,5,2018-04-11
156,901905809,耳機喇叭,5,5,2018-04-11
157,193458221,耳機喇叭,5,5,2018-04-11
158,1009720859,耳機喇叭,5,5,2018-04-11
159,888076942,耳機喇叭,5,5,2018-04-11
160,125365780,耳機喇叭,5,4,2018-04-11
161,129109950,耳機喇叭,5,5,2018-04-11
162,1018273037,耳機喇叭,5,5,2018-04-11
163,350917351,耳機喇叭,5,4,2018-04-11
164,751211322,耳機喇叭,5,4,2018-04-11
165,41467810,耳機喇叭,5,3,2018-04-11
166,969810302,耳機喇叭,5,5,2018-04-11
167,961758443,耳機喇叭,5,5,2018-04-11
168,433325763,耳機喇叭,5,5,2018-04-11
169,157248308,耳機喇叭,5,5,2018-04-11
170,659907856,耳機喇叭,5,4,2018-04-11
171,93344348,耳機喇叭,5,5,2018-04-11
172,223199077,耳機喇叭,5,5,2018-04-11
173,951855408,耳機喇叭,5,4,2018-04-11
174,877757179,耳機喇叭,5,5,2018-04-11
175,539822221,耳機喇叭,5,5,2018-04-11
176,76746619,耳機喇叭,5,5,2018-04-11
177,28031017,耳機喇叭,5,5,2018-04-11
178,55058800,耳機喇叭,5,5,2018-04-11
179,150077527,耳機喇叭,5,5,2018-04-11
180,316921558,耳機喇叭,5,3,2018-04-11
181,722429042,耳機喇叭,5,5,2018-04-11
182,171179009,耳機喇叭,5,4,2018-04-11
183,321833431,耳機喇叭,5,5,2018-04-11
184,125105253,耳機喇叭,5,5,2018-04-11
185,16936944,耳機喇叭,5,5,2018-04-11
186,80753848,耳機喇叭,4,3,2018-04-11
187,194996046,耳機喇叭,4,4,2018-04-11
188,876218582,耳機喇叭,4,4,2018-04-11
189,107787811,耳機喇叭,4,4,2018-04-11
190,319557487,耳機喇叭,4,4,2018-04-11
191,388050407,耳機喇叭,4,4,2018-04-11
192,14521804,耳機喇叭,4,3,2018-04-11
193,117822354,耳機喇叭,4,3,2018-04-11
194,175098623,耳機喇叭,4,4,2018-04-11
