id,item_id,category_name,最大月銷量,最小月銷量,熱銷程度,update_time
104,4416434,耳機喇叭,9,9,普通,2018-05-14
105,3371371,耳機喇叭,9,8,普通,2018-05-14
106,267767727,耳機喇叭,9,9,普通,2018-05-14
107,151552839,耳機喇叭,9,8,普通,2018-05-14
108,898493313,耳機喇叭,9,9,普通,2018-05-14
109,138827046,耳機喇叭,9,9,普通,2018-05-14
110,203188291,耳機喇叭,9,8,普通,2018-05-14
111,91619525,耳機喇叭,9,8,普通,2018-05-14
112,13762702,耳機喇叭,9,9,普通,2018-05-14
113,114138636,耳機喇叭,8,8,普通,2018-05-14
114,137219460,耳機喇叭,8,7,普通,2018-05-14
115,314481296,耳機喇叭,8,7,普通,2018-05-14
116,202992118,耳機喇叭,8,8,普通,2018-05-14
117,266433416,耳機喇叭,8,7,普通,2018-05-14
118,1025197391,耳機喇叭,8,8,普通,2018-05-14
119,801060897,耳機喇叭,8,8,普通,2018-05-14
120,170535325,耳機喇叭,8,6,普通,2018-05-14
121,114352143,耳機喇叭,8,2,普通,2018-05-14
122,15201976,耳機喇叭,8,7,普通,2018-05-14
123,621192830,耳機喇叭,8,7,普通,2018-05-14
124,287529413,耳機喇叭,7,7,普通,2018-05-14
125,487689700,耳機喇叭,7,7,普通,2018-05-14
126,922726196,耳機喇叭,7,7,普通,2018-05-14
127,137110653,耳機喇叭,7,7,普通,2018-05-14
128,111061589,耳機喇叭,7,6,普通,2018-05-14
129,29678731,耳機喇叭,7,7,普通,2018-05-14
130,61539627,耳機喇叭,7,7,普通,2018-05-14
131,67821928,耳機喇叭,7,6,普通,2018-05-14
132,256055101,耳機喇叭,7,6,普通,2018-05-14
133,889237119,耳機喇叭,7,7,普通,2018-05-14
134,316351542,耳機喇叭,7,6,普通,2018-05-14
135,457572696,耳機喇叭,7,7,普通,2018-05-14
136,185396942,耳機喇叭,7,7,普通,2018-05-14
137,846893185,耳機喇叭,7,7,普通,2018-05-14
138,142593847,耳機喇叭,7,7,普通,2018-05-14
139,905544182,耳機喇叭,7,6,普通,2018-05-14
140,316326643,耳機喇叭,7,7,普通,2018-05-14
141,197725652,耳機喇叭,6,4,普通,2018-05-14
142,765690670,耳機喇叭,6,6,普通,2018-05-14
143,233676048,耳機喇叭,6,6,普通,2018-05-14
144,19917454,耳機喇叭,6,6,普通,2018-05-14
145,258737979,耳機喇叭,6,6,普通,2018-05-14
146,973504951,耳機喇叭,6,6,普通,2018-05-14
147,308822345,耳機喇叭,6,6,普通,2018-05-14
148,174826576,耳機喇叭,6,6,普通,2018-05-14
149,389403132,耳機喇叭,6,5,普通,2018-05-14
150,170980128,耳機喇叭,6,6,普通,2018-05-14
151,822092047,耳機喇叭,6,6,普通,2018-05-14
152,209678133,耳機喇叭,6,5,普通,2018-05-14
153,971728340,耳機喇叭,6,6,普通,2018-05-14
154,191966950,耳機喇叭,6,5,普通,2018-05-14
155,883318843,耳機喇叭,5,5,滯銷,2018-05-14
156,901905809,耳機喇叭,5,5,滯銷,2018-05-14
157,193458221,耳機喇叭,5,5,滯銷,2018-05-14
158,1009720859,耳機喇叭,5,5,滯銷,2018-05-14
159,888076942,耳機喇叭,5,5,滯銷,2018-05-14
160,125365780,耳機喇叭,5,4,滯銷,2018-05-14
161,129109950,耳機喇叭,5,5,滯銷,2018-05-14
162,1018273037,耳機喇叭,5,5,滯銷,2018-05-14
163,350917351,耳機喇叭,5,4,滯銷,2018-05-14
164,751211322,耳機喇叭,5,4,滯銷,2018-05-14
165,41467810,耳機喇叭,5,3,滯銷,2018-05-14
166,969810302,耳機喇叭,5,5,滯銷,2018-05-14
167,961758443,耳機喇叭,5,5,滯銷,2018-05-14
168,433325763,耳機喇叭,5,5,滯銷,2018-05-14
169,157248308,耳機喇叭,5,5,滯銷,2018-05-14
170,659907856,耳機喇叭,5,4,滯銷,2018-05-14
171,93344348,耳機喇叭,5,5,滯銷,2018-05-14
172,223199077,耳機喇叭,5,5,滯銷,2018-05-14
173,951855408,耳機喇叭,5,4,滯銷,2018-05-14
174,877757179,耳機喇叭,5,5,滯銷,2018-05-14
175,539822221,耳機喇叭,5,5,滯銷,2018-05-14
176,76746619,耳機喇叭,5,5,滯銷,2018-05-14
177,28031017,耳機喇叭,5,5,滯銷,2018-05-14
178,55058800,耳機喇叭,5,5,滯銷,2018-05-14
179,150077527,耳機喇叭,5,5,滯銷,2018-05-14
180,316921558,耳機喇叭,5,3,滯銷,2018-05-14
181,722429042,耳機喇叭,5,5,滯銷,2018-05-14
182,171179009,耳機喇叭,5,4,滯銷,2018-05-14
183,321833431,耳機喇叭,5,5,滯銷,2018-05-14
184,125105253,耳機喇叭,5,5,滯銷,2018-05-14
185,16936944,耳機喇叭,5,5,滯銷,2018-05-14
186,80753848,耳機喇叭,4,3,滯銷,2018-05-14
187,194996046,耳機喇叭,4,4,滯銷,2018-05-14
188,876218582,耳機喇叭,4,4,滯銷,2018-05-14
189,107787811,耳機喇叭,4,4,滯銷,2018-05-14
190,319557487,耳機喇叭,4,4,滯銷,2018-05-14
191,388050407,耳機喇叭,4,4,滯銷,2018-05-14
192,14521804,耳機喇叭,4,3,滯銷,2018-05-14
193,117822354,耳機喇叭,4,3,滯銷,2018-05-14
194,175098623,耳機喇叭,4,4,滯銷,2018-05-14
195,765730700,耳機喇叭,4,4,滯銷,2018-05-14
196,92988274,耳機喇叭,4,4,滯銷,2018-05-14
197,55818642,耳機喇叭,4,4,滯銷,2018-05-14
198,391764992,耳機喇叭,4,4,滯銷,2018-05-14
