item_id,product_name,item_name,item_price,item_stock
4744924,手機支架_車載手機支架_汽車用品_汽車內飾_冷氣出風口手機支架iPhone66s,橙色,50,976
4744924,手機支架_車載手機支架_汽車用品_汽車內飾_冷氣出風口手機支架iPhone66s,紅色,50,971
40819409,Annabon珍珠嘴唇粉紅桃紅水鑽zenfone56zenfone3zoomze553kl貼鑽手機殼保護殼套,淺粉,290,2
40819409,Annabon珍珠嘴唇粉紅桃紅水鑽zenfone56zenfone3zoomze553kl貼鑽手機殼保護殼套,桃紅,290,2
40819409,Annabon珍珠嘴唇粉紅桃紅水鑽zenfone56zenfone3zoomze553kl貼鑽手機殼保護殼套,請在訂單上備註型號喔,290,2
40819415,Annabon花椰菜蝦子排骨鮭魚zenfone5zenfone3zoom仿真食玩惡搞原宿手機殼保護殼套透明,鮭魚,290,2
40819415,Annabon花椰菜蝦子排骨鮭魚zenfone5zenfone3zoom仿真食玩惡搞原宿手機殼保護殼套透明,花椰菜,290,2
40819415,Annabon花椰菜蝦子排骨鮭魚zenfone5zenfone3zoom仿真食玩惡搞原宿手機殼保護殼套透明,蝦子,290,2
40819415,Annabon花椰菜蝦子排骨鮭魚zenfone5zenfone3zoom仿真食玩惡搞原宿手機殼保護殼套透明,請在訂單上備註型號喔,290,2
40819419,Annabon女生原宿紋身叛逆zenfone5zenfone3zoomze553kl手機殼保護殼套漫畫創意惡搞,1號,290,5
40819419,Annabon女生原宿紋身叛逆zenfone5zenfone3zoomze553kl手機殼保護殼套漫畫創意惡搞,2號,290,5
40819419,Annabon女生原宿紋身叛逆zenfone5zenfone3zoomze553kl手機殼保護殼套漫畫創意惡搞,3號,290,5
40819419,Annabon女生原宿紋身叛逆zenfone5zenfone3zoomze553kl手機殼保護殼套漫畫創意惡搞,請在訂單上備註型號喔,290,5
614077529,iBFree_防水藍芽耳機,iBFree_防水藍芽耳機黑,1375,5
614077529,iBFree_防水藍芽耳機,iBFree_防水藍芽耳機紅,1375,5
614077529,iBFree_防水藍芽耳機,iBFree_防水藍芽耳機綠,1375,5
614077529,iBFree_防水藍芽耳機,iBFree_防水藍芽耳機藍,1375,5
40819428,Annabon微笑笑臉smile_zenfone56zenfone3zoomze553kl手機殼套保護殼套透明,zenfone5,250,2
40819428,Annabon微笑笑臉smile_zenfone56zenfone3zoomze553kl手機殼套保護殼套透明,zenfone6,250,2
40819428,Annabon微笑笑臉smile_zenfone56zenfone3zoomze553kl手機殼套保護殼套透明,zenfone3zoom,250,5
40819449,Annabon粉紅寶石珍珠zenfone56zenfone3zoomze553kl貼鑽水鑽手機殼保護套,zenfone5,370,2
40819449,Annabon粉紅寶石珍珠zenfone56zenfone3zoomze553kl貼鑽水鑽手機殼保護套,zenfone6,390,1
40819449,Annabon粉紅寶石珍珠zenfone56zenfone3zoomze553kl貼鑽水鑽手機殼保護套,zenfone3zoom,370,5
40819459,Annabon紋身刺青公主zenfone56zenfone3zoomze553kl原宿惡搞創意手機殼保護殼套,1號,290,2
40819459,Annabon紋身刺青公主zenfone56zenfone3zoomze553kl原宿惡搞創意手機殼保護殼套,2號,290,2
40819459,Annabon紋身刺青公主zenfone56zenfone3zoomze553kl原宿惡搞創意手機殼保護殼套,3號,290,2
40819459,Annabon紋身刺青公主zenfone56zenfone3zoomze553kl原宿惡搞創意手機殼保護殼套,請在訂單上備註型號喔,290,2
40819469,Annabon寶石果凍貼鑽zenfone56zenfone3zoomze553kl棋盤水鑽手機殼套保護殼套鮮豔,1號,350,2
40819469,Annabon寶石果凍貼鑽zenfone56zenfone3zoomze553kl棋盤水鑽手機殼套保護殼套鮮豔,2號,350,2
40819469,Annabon寶石果凍貼鑽zenfone56zenfone3zoomze553kl棋盤水鑽手機殼套保護殼套鮮豔,請在訂單上備註型號喔,350,2
42047854,Annabon寶石果凍水鑽zenfone2_5吋zenfone2_55吋ze551ml手機殼保護殼貼鑽,1號,350,2
42047854,Annabon寶石果凍水鑽zenfone2_5吋zenfone2_55吋ze551ml手機殼保護殼貼鑽,2號,350,1
42047854,Annabon寶石果凍水鑽zenfone2_5吋zenfone2_55吋ze551ml手機殼保護殼貼鑽,3號,350,2
42047854,Annabon寶石果凍水鑽zenfone2_5吋zenfone2_55吋ze551ml手機殼保護殼貼鑽,4號,350,1
42047854,Annabon寶石果凍水鑽zenfone2_5吋zenfone2_55吋ze551ml手機殼保護殼貼鑽,5號,350,1
26033705,Hello_kitty_凱蒂貓_點點系列矽膠造型手機殼___IPHONE_6_6s_47吋,白色,79,5
26033705,Hello_kitty_凱蒂貓_點點系列矽膠造型手機殼___IPHONE_6_6s_47吋,青綠色,79,4
26033705,Hello_kitty_凱蒂貓_點點系列矽膠造型手機殼___IPHONE_6_6s_47吋,粉紅,79,3
26033705,Hello_kitty_凱蒂貓_點點系列矽膠造型手機殼___IPHONE_6_6s_47吋,橘紅,79,1
42047862,Annabon眼球_夢露_英文字母_原宿_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_鉚釘_水鑽_手機殼_保護殼套_創意,5吋,330,2
42047862,Annabon眼球_夢露_英文字母_原宿_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_鉚釘_水鑽_手機殼_保護殼套_創意,55吋,330,1
233380301,療癒系行動電源,1,450,10
233380301,療癒系行動電源,2,450,10
233380301,療癒系行動電源,3,450,10
233380301,療癒系行動電源,4,450,10
233380301,療癒系行動電源,5,450,10
42047865,Annabon蝴蝶結_珍珠_粉紅_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_紅色_桃紅_手機殼_保護殼套_透明,淺粉,290,2
42047865,Annabon蝴蝶結_珍珠_粉紅_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_紅色_桃紅_手機殼_保護殼套_透明,桃紅,290,2
42047865,Annabon蝴蝶結_珍珠_粉紅_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_紅色_桃紅_手機殼_保護殼套_透明,紅色,290,2
30809690,Hello_Kitty_壓紋_蠶絲紋_手機保護套_手機殼__iPhone_6_6s_47吋,1號,,0
30809690,Hello_Kitty_壓紋_蠶絲紋_手機保護套_手機殼__iPhone_6_6s_47吋,2號,49,2
30809690,Hello_Kitty_壓紋_蠶絲紋_手機保護套_手機殼__iPhone_6_6s_47吋,3號,49,4
30809690,Hello_Kitty_壓紋_蠶絲紋_手機保護套_手機殼__iPhone_6_6s_47吋,4號,49,3
39325127,Iphone_背殼式行動電源,47,599,4
39325127,Iphone_背殼式行動電源,55,630,10
42047866,Annabon蝴蝶結粉紅水鑽zenfone25吋ze500clzenfone255吋ze551ml貼鑽手機殼透明,1號,290,2
42047866,Annabon蝴蝶結粉紅水鑽zenfone25吋ze500clzenfone255吋ze551ml貼鑽手機殼透明,2號,290,2
42047866,Annabon蝴蝶結粉紅水鑽zenfone25吋ze500clzenfone255吋ze551ml貼鑽手機殼透明,下單請備註型號噢,290,1
42047876,Annabon仿真爆米花_扭蛋機_創意_可愛_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_超萌手機殼套保護殼套_透明,5吋,250,1
42047876,Annabon仿真爆米花_扭蛋機_創意_可愛_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_超萌手機殼套保護殼套_透明,55吋,250,2
8518346,小米10400Ah_最高品質,黑,299,71
8518346,小米10400Ah_最高品質,金,299,55
8518346,小米10400Ah_最高品質,銀,299,68
8518346,小米10400Ah_最高品質,藍,299,11
8518346,小米10400Ah_最高品質,紅,299,40
8518346,小米10400Ah_最高品質,綠,299,77
8518346,小米10400Ah_最高品質,神秘紫,299,72
42047882,Annabon紫色_寶石_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_果凍_水鑽_手機殼_貼鑽_透明_保護套殼,5吋,350,2
