item_id,product_name,ship_name,ship_price
169514723,雙USB行動電源Myfone台灣大哥大9000安培雙USB行動電源,黑貓宅急便,130
169514723,雙USB行動電源Myfone台灣大哥大9000安培雙USB行動電源,7-11,30
169514723,雙USB行動電源Myfone台灣大哥大9000安培雙USB行動電源,全家,30
169514723,雙USB行動電源Myfone台灣大哥大9000安培雙USB行動電源,中華郵政,130
112624402,HTC_S9玻璃保貼,7-11,60
112624402,HTC_S9玻璃保貼,全家,60
112624402,HTC_S9玻璃保貼,中華郵政,60
13586224,泰國設計師款萬用手機相機包_1319cm,7-11,30
13586224,泰國設計師款萬用手機相機包_1319cm,全家,30
100000411,迪士尼_手機殼_愛麗絲_維尼_史迪奇_電鍍_保護殼_正版_米奇_小美人魚_Iphone7_iphone7Plus,7-11,30
100000411,迪士尼_手機殼_愛麗絲_維尼_史迪奇_電鍍_保護殼_正版_米奇_小美人魚_Iphone7_iphone7Plus,全家,30
13586341,現貨出清kanahei卡娜赫拉卡通玻璃膜鋼化膜透明前膜保護貼保護膜_iphone5SE678,7-11,60
13586341,現貨出清kanahei卡娜赫拉卡通玻璃膜鋼化膜透明前膜保護貼保護膜_iphone5SE678,全家,0
112631848,手機防塵塞_耳機塞_蝙蝠俠拭鏡布_鏡頭擦拭布_螢幕_眼鏡_單眼_數位相機_類單眼_re_液晶螢幕_電腦_iPhone_7,黑貓宅急便,210
112631848,手機防塵塞_耳機塞_蝙蝠俠拭鏡布_鏡頭擦拭布_螢幕_眼鏡_單眼_數位相機_類單眼_re_液晶螢幕_電腦_iPhone_7,7-11,60
112631848,手機防塵塞_耳機塞_蝙蝠俠拭鏡布_鏡頭擦拭布_螢幕_眼鏡_單眼_數位相機_類單眼_re_液晶螢幕_電腦_iPhone_7,全家,0
112631848,手機防塵塞_耳機塞_蝙蝠俠拭鏡布_鏡頭擦拭布_螢幕_眼鏡_單眼_數位相機_類單眼_re_液晶螢幕_電腦_iPhone_7,中華郵政,50
1000005655,品樂通訊ASUS_ZenFoneLive_ZB501KL_16GB_全新未拆實體店面取機付款,7-11,30
1000005655,品樂通訊ASUS_ZenFoneLive_ZB501KL_16GB_全新未拆實體店面取機付款,賣家宅配,80
169515595,天馬行銷台灣製_DCPA_10000行動電源_行動充_mark_馬克_雷神,黑貓宅急便,90
169515595,天馬行銷台灣製_DCPA_10000行動電源_行動充_mark_馬克_雷神,7-11,30
169515595,天馬行銷台灣製_DCPA_10000行動電源_行動充_mark_馬克_雷神,全家,30
169515595,天馬行銷台灣製_DCPA_10000行動電源_行動充_mark_馬克_雷神,萊爾富,30
169515595,天馬行銷台灣製_DCPA_10000行動電源_行動充_mark_馬克_雷神,中華郵政,60
135864424,T3即插式美顏音箱手機直播補光燈美顏自拍燈手機音響直插便攜小音箱擴音器喇叭,7-11,60
135864424,T3即插式美顏音箱手機直播補光燈美顏自拍燈手機音響直插便攜小音箱擴音器喇叭,全家,60
135864424,T3即插式美顏音箱手機直播補光燈美顏自拍燈手機音響直插便攜小音箱擴音器喇叭,萊爾富,60
1000009462,樂天3C_HTC_Desire_10_lifestyle_D10U_32G_黑色_88新店家保固十五日_S2173,黑貓宅急便,90
112634094,I_phone_6_16g,黑貓宅急便,90
112634094,I_phone_6_16g,7-11,30
112634094,I_phone_6_16g,全家,30
112634094,I_phone_6_16g,賣家宅配,100
135864906,abby_only,黑貓宅急便,90
135864906,abby_only,7-11,30
135864906,abby_only,全家,30
135864906,abby_only,中華郵政,0
135864906,abby_only,賣家宅配,0
11263466,超級廣角_自拍鏡Apple_I_phone_Samsung_htc_Sony_旅遊必備_自拍鏡_廣角鏡_超級廣角,7-11,60
11263466,超級廣角_自拍鏡Apple_I_phone_Samsung_htc_Sony_旅遊必備_自拍鏡_廣角鏡_超級廣角,全家,0
11263466,超級廣角_自拍鏡Apple_I_phone_Samsung_htc_Sony_旅遊必備_自拍鏡_廣角鏡_超級廣角,中華郵政,55
1000029552,樂天3C_HTC_Desire_10_lifestyle_D10U_32G_藍色_88新店家保固十五日_S2169,黑貓宅急便,90
13586525,現貨I_phone姆明族亞美手機殼,7-11,60
13586525,現貨I_phone姆明族亞美手機殼,全家,60
13586525,現貨I_phone姆明族亞美手機殼,中華郵政,37
169517246,手機主播補光燈led自拍燈映客YY直播鏡頭打光燈美顏燈拍照相神器,全家,0
169517246,手機主播補光燈led自拍燈映客YY直播鏡頭打光燈美顏燈拍照相神器,賣家宅配,80
1000030010,品樂通訊ASUS_ZenFone_Max_Plus_ZB570TL__全新未拆空機實體店面取機付款,7-11,30
1000030010,品樂通訊ASUS_ZenFone_Max_Plus_ZB570TL__全新未拆空機實體店面取機付款,賣家宅配,80
11263684,Note5蘋果6翻頁手機套,7-11,30
11263684,Note5蘋果6翻頁手機套,全家,30
11263684,Note5蘋果6翻頁手機套,賣家宅配,0
169517398,圖拉斯直播補光燈主播手機神器美顏燈自拍燈瘦臉拍照打光嫩膚高清,全家,0
169517398,圖拉斯直播補光燈主播手機神器美顏燈自拍燈瘦臉拍照打光嫩膚高清,賣家宅配,80
135866157,Apple_AirPods_現貨供應,黑貓宅急便,90
135866157,Apple_AirPods_現貨供應,7-11,30
135866157,Apple_AirPods_現貨供應,全家,30
135866157,Apple_AirPods_現貨供應,中華郵政,80
135866157,Apple_AirPods_現貨供應,賣家宅配,100
11264193,蝦蝦宅購網GOLF金屬合金編織尼龍繩_安卓快速充電線_2米,黑貓宅急便,90
11264193,蝦蝦宅購網GOLF金屬合金編織尼龍繩_安卓快速充電線_2米,7-11,60
11264193,蝦蝦宅購網GOLF金屬合金編織尼龍繩_安卓快速充電線_2米,全家,60
11264193,蝦蝦宅購網GOLF金屬合金編織尼龍繩_安卓快速充電線_2米,賣家宅配,60
13586766,編號712款下標處多款手機電源貼_卡通豆腐貼,7-11,60
