item_id,product_name,ship_name,ship_price
1032276196,現貨鑽石電鍍_鏡面手機殼韓風文青iPhone6_i6_i6s_iPhone7_Plus_i7_系列手機殼_全包殼,圓通-黑貓宅配,55
1032276196,現貨鑽石電鍍_鏡面手機殼韓風文青iPhone6_i6_i6s_iPhone7_Plus_i7_系列手機殼_全包殼,圓通-711超取,55
475717096,潮物nnn蝦皮特選2017卡通全屏覆蓋軟邊膜iPhone_7s_plus_7plus_手機貼膜,圓通-黑貓宅配,30
475717096,潮物nnn蝦皮特選2017卡通全屏覆蓋軟邊膜iPhone_7s_plus_7plus_手機貼膜,圓通-711超取,30
1031217121,網紅款_iphoneX手機殼_iphone8_iphone7_iphone6_Plus手機殼_創意人臉_軟殼,7-11,60
1031217121,網紅款_iphoneX手機殼_iphone8_iphone7_iphone6_Plus手機殼_創意人臉_軟殼,全家,60
1031217121,網紅款_iphoneX手機殼_iphone8_iphone7_iphone6_Plus手機殼_創意人臉_軟殼,萊爾富,60
1031217121,網紅款_iphoneX手機殼_iphone8_iphone7_iphone6_Plus手機殼_創意人臉_軟殼,中華郵政,80
1008724142,多功能韓國卡通可愛護照保護證件包_出國用品PinkQ,7-11,30
1008724142,多功能韓國卡通可愛護照保護證件包_出國用品PinkQ,全家,30
1008724142,多功能韓國卡通可愛護照保護證件包_出國用品PinkQ,萊爾富,30
1008724142,多功能韓國卡通可愛護照保護證件包_出國用品PinkQ,賣家宅配,0
896520024,現貨_加大視窗版_Zenfone_2_Deluxe_皮套_ZE550ML_皮套_ZE551ML_皮套_磁扣_休眠,7-11,60
896520024,現貨_加大視窗版_Zenfone_2_Deluxe_皮套_ZE550ML_皮套_ZE551ML_皮套_磁扣_休眠,全家,60
896520024,現貨_加大視窗版_Zenfone_2_Deluxe_皮套_ZE550ML_皮套_ZE551ML_皮套_磁扣_休眠,萊爾富,60
896520024,現貨_加大視窗版_Zenfone_2_Deluxe_皮套_ZE550ML_皮套_ZE551ML_皮套_磁扣_休眠,中華郵政,60
896520024,現貨_加大視窗版_Zenfone_2_Deluxe_皮套_ZE550ML_皮套_ZE551ML_皮套_磁扣_休眠,賣家宅配,100
1031547689,Hargan_Oppo_r9_r9s_r11_plus_r11s_趣味文字_手機殼_保護殼_全包軟殼_吊飾_鋼化膜,7-11,30
1031547689,Hargan_Oppo_r9_r9s_r11_plus_r11s_趣味文字_手機殼_保護殼_全包軟殼_吊飾_鋼化膜,全家,30
1031547689,Hargan_Oppo_r9_r9s_r11_plus_r11s_趣味文字_手機殼_保護殼_全包軟殼_吊飾_鋼化膜,中華郵政,0
628150118,SongWini_尚之宇_Lightning_to_HDMI_影音傳輸線_全新開發票,7-11,0
628150118,SongWini_尚之宇_Lightning_to_HDMI_影音傳輸線_全新開發票,全家,0
628150118,SongWini_尚之宇_Lightning_to_HDMI_影音傳輸線_全新開發票,萊爾富,0
628150118,SongWini_尚之宇_Lightning_to_HDMI_影音傳輸線_全新開發票,中華郵政,50
628150118,SongWini_尚之宇_Lightning_to_HDMI_影音傳輸線_全新開發票,賣家宅配,80
111388562,iphone_55s66s66s7788_快充數據線MFi認證,7-11,60
111388562,iphone_55s66s66s7788_快充數據線MFi認證,全家,60
873042621,Sansung_J7_prime_55吋_32_G,黑貓宅急便,90
